Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score,Year_FEMALE,FSM_FEMALE,VR1 Band_FEMALE,VR Band of Student_FEMALE,Ethnic group of student_FEMALE,School denomination_FEMALE,Year_MALE,FSM_MALE,VR1 Band_MALE,VR Band of Student_MALE,Ethnic group of student_MALE,School denomination_MALE,Year_MIXED,FSM_MIXED,VR1 Band_MIXED,VR Band of Student_MIXED,Ethnic group of student_MIXED,School denomination_MIXED
3,37,20,2,8,2,43,0,0,0,0,0,0,3,37,20,2,8,2,0,0,0,0,0,0
3,37,20,3,5,2,22,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,2,1,2,22,0,0,0,0,0,0,3,37,20,2,1,2,0,0,0,0,0,0
3,37,20,2,1,2,6,0,0,0,0,0,0,3,37,20,2,1,2,0,0,0,0,0,0
3,37,20,3,1,2,32,0,0,0,0,0,0,3,37,20,3,1,2,0,0,0,0,0,0
3,37,20,1,5,2,3,0,0,0,0,0,0,3,37,20,1,5,2,0,0,0,0,0,0
3,37,20,2,8,2,38,0,0,0,0,0,0,3,37,20,2,8,2,0,0,0,0,0,0
3,37,20,3,1,2,15,0,0,0,0,0,0,3,37,20,3,1,2,0,0,0,0,0,0
3,37,20,2,1,2,35,0,0,0,0,0,0,3,37,20,2,1,2,0,0,0,0,0,0
3,37,20,2,5,2,20,0,0,0,0,0,0,3,37,20,2,5,2,0,0,0,0,0,0
3,37,20,3,1,2,20,0,0,0,0,0,0,3,37,20,3,1,2,0,0,0,0,0,0
3,37,20,3,5,2,4,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,5,2,20,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,1,2,5,0,0,0,0,0,0,3,37,20,3,1,2,0,0,0,0,0,0
3,37,20,2,2,2,39,0,0,0,0,0,0,3,37,20,2,2,2,0,0,0,0,0,0
3,37,20,3,5,2,25,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,1,5,2,3,0,0,0,0,0,0,3,37,20,1,5,2,0,0,0,0,0,0
3,37,20,2,1,2,25,0,0,0,0,0,0,3,37,20,2,1,2,0,0,0,0,0,0
3,37,20,3,5,2,14,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,2,5,2,13,0,0,0,0,0,0,3,37,20,2,5,2,0,0,0,0,0,0
3,37,20,3,5,2,15,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,5,2,10,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,1,2,10,0,0,0,0,0,0,3,37,20,3,1,2,0,0,0,0,0,0
3,37,20,1,1,2,16,0,0,0,0,0,0,3,37,20,1,1,2,0,0,0,0,0,0
3,37,20,3,5,2,16,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,2,1,2,12,0,0,0,0,0,0,3,37,20,2,1,2,0,0,0,0,0,0
3,37,20,3,5,2,10,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,5,2,46,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,5,2,30,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,8,2,32,0,0,0,0,0,0,3,37,20,3,8,2,0,0,0,0,0,0
3,37,20,3,5,2,15,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
3,37,20,3,5,2,25,0,0,0,0,0,0,3,37,20,3,5,2,0,0,0,0,0,0
1,51,14,3,1,1,16,0,0,0,0,0,0,1,51,14,3,1,1,0,0,0,0,0,0
1,51,14,3,1,1,7,0,0,0,0,0,0,1,51,14,3,1,1,0,0,0,0,0,0
1,51,14,2,10,1,30,0,0,0,0,0,0,1,51,14,2,10,1,0,0,0,0,0,0
1,51,14,3,4,1,8,0,0,0,0,0,0,1,51,14,3,4,1,0,0,0,0,0,0
1,51,14,3,1,1,4,0,0,0,0,0,0,1,51,14,3,1,1,0,0,0,0,0,0
1,51,14,2,4,1,25,0,0,0,0,0,0,1,51,14,2,4,1,0,0,0,0,0,0
1,51,14,1,4,1,9,0,0,0,0,0,0,1,51,14,1,4,1,0,0,0,0,0,0
1,51,14,1,7,1,9,0,0,0,0,0,0,1,51,14,1,7,1,0,0,0,0,0,0
1,51,14,3,5,1,5,0,0,0,0,0,0,1,51,14,3,5,1,0,0,0,0,0,0
3,65,13,2,1,1,18,0,0,0,0,0,0,3,65,13,2,1,1,0,0,0,0,0,0
3,65,13,3,7,1,10,0,0,0,0,0,0,3,65,13,3,7,1,0,0,0,0,0,0
3,65,13,1,1,1,11,0,0,0,0,0,0,3,65,13,1,1,1,0,0,0,0,0,0
3,65,13,1,9,1,19,0,0,0,0,0,0,3,65,13,1,9,1,0,0,0,0,0,0
3,65,13,2,1,1,23,0,0,0,0,0,0,3,65,13,2,1,1,0,0,0,0,0,0
3,65,13,3,4,1,4,0,0,0,0,0,0,3,65,13,3,4,1,0,0,0,0,0,0
3,65,13,1,1,1,1,0,0,0,0,0,0,3,65,13,1,1,1,0,0,0,0,0,0
3,65,13,2,3,1,7,0,0,0,0,0,0,3,65,13,2,3,1,0,0,0,0,0,0
3,65,13,3,4,1,6,0,0,0,0,0,0,3,65,13,3,4,1,0,0,0,0,0,0
3,65,13,3,1,1,30,0,0,0,0,0,0,3,65,13,3,1,1,0,0,0,0,0,0
3,65,13,3,4,1,18,0,0,0,0,0,0,3,65,13,3,4,1,0,0,0,0,0,0
3,65,13,2,1,1,6,0,0,0,0,0,0,3,65,13,2,1,1,0,0,0,0,0,0
3,65,13,1,1,1,3,0,0,0,0,0,0,3,65,13,1,1,1,0,0,0,0,0,0
3,65,13,3,4,1,17,0,0,0,0,0,0,3,65,13,3,4,1,0,0,0,0,0,0
3,65,13,1,5,1,5,0,0,0,0,0,0,3,65,13,1,5,1,0,0,0,0,0,0
3,46,33,2,1,3,52,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,1,3,35,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,3,1,3,4,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
3,46,33,3,11,3,13,0,0,0,0,0,0,3,46,33,3,11,3,0,0,0,0,0,0
3,46,33,2,1,3,50,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,11,3,29,0,0,0,0,0,0,3,46,33,2,11,3,0,0,0,0,0,0
3,46,33,3,5,3,3,0,0,0,0,0,0,3,46,33,3,5,3,0,0,0,0,0,0
3,46,33,3,5,3,33,0,0,0,0,0,0,3,46,33,3,5,3,0,0,0,0,0,0
3,46,33,3,1,3,16,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
3,46,33,1,1,3,7,0,0,0,0,0,0,3,46,33,1,1,3,0,0,0,0,0,0
3,46,33,2,1,3,28,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,1,3,32,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,3,11,3,3,0,0,0,0,0,0,3,46,33,3,11,3,0,0,0,0,0,0
3,46,33,3,1,3,19,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
3,46,33,2,1,3,24,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,1,3,22,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,1,3,42,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,2,3,24,0,0,0,0,0,0,3,46,33,2,2,3,0,0,0,0,0,0
3,46,33,2,1,3,8,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,2,11,3,50,0,0,0,0,0,0,3,46,33,2,11,3,0,0,0,0,0,0
3,46,33,1,1,3,1,0,0,0,0,0,0,3,46,33,1,1,3,0,0,0,0,0,0
3,46,33,2,5,3,14,0,0,0,0,0,0,3,46,33,2,5,3,0,0,0,0,0,0
3,46,33,3,1,3,21,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
3,46,33,3,11,3,8,0,0,0,0,0,0,3,46,33,3,11,3,0,0,0,0,0,0
3,46,33,2,11,3,37,0,0,0,0,0,0,3,46,33,2,11,3,0,0,0,0,0,0
3,46,33,2,5,3,9,0,0,0,0,0,0,3,46,33,2,5,3,0,0,0,0,0,0
3,46,33,3,1,3,10,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
3,46,33,2,1,3,36,0,0,0,0,0,0,3,46,33,2,1,3,0,0,0,0,0,0
3,46,33,1,1,3,15,0,0,0,0,0,0,3,46,33,1,1,3,0,0,0,0,0,0
3,46,33,3,1,3,17,0,0,0,0,0,0,3,46,33,3,1,3,0,0,0,0,0,0
1,34,22,1,1,3,5,0,0,0,0,0,0,1,34,22,1,1,3,0,0,0,0,0,0
1,34,22,2,1,3,36,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,3,11,3,25,0,0,0,0,0,0,1,34,22,3,11,3,0,0,0,0,0,0
1,34,22,3,5,3,5,0,0,0,0,0,0,1,34,22,3,5,3,0,0,0,0,0,0
1,34,22,3,1,3,18,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,2,11,3,11,0,0,0,0,0,0,1,34,22,2,11,3,0,0,0,0,0,0
1,34,22,2,11,3,34,0,0,0,0,0,0,1,34,22,2,11,3,0,0,0,0,0,0
1,34,22,3,11,3,8,0,0,0,0,0,0,1,34,22,3,11,3,0,0,0,0,0,0
1,34,22,2,6,3,30,0,0,0,0,0,0,1,34,22,2,6,3,0,0,0,0,0,0
1,34,22,3,1,3,24,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,3,1,3,26,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,1,1,3,1,0,0,0,0,0,0,1,34,22,1,1,3,0,0,0,0,0,0
1,34,22,2,1,3,12,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,3,1,3,12,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,3,1,3,1,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,3,5,3,11,0,0,0,0,0,0,1,34,22,3,5,3,0,0,0,0,0,0
1,34,22,1,11,3,1,0,0,0,0,0,0,1,34,22,1,11,3,0,0,0,0,0,0
1,34,22,3,1,3,22,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,3,11,3,15,0,0,0,0,0,0,1,34,22,3,11,3,0,0,0,0,0,0
1,34,22,1,5,3,3,0,0,0,0,0,0,1,34,22,1,5,3,0,0,0,0,0,0
1,34,22,1,11,3,9,0,0,0,0,0,0,1,34,22,1,11,3,0,0,0,0,0,0
1,34,22,2,1,3,22,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,1,11,3,18,0,0,0,0,0,0,1,34,22,1,11,3,0,0,0,0,0,0
1,34,22,1,1,3,8,0,0,0,0,0,0,1,34,22,1,1,3,0,0,0,0,0,0
1,34,22,3,11,3,7,0,0,0,0,0,0,1,34,22,3,11,3,0,0,0,0,0,0
1,34,22,3,1,3,6,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,2,1,3,32,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,2,1,3,35,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,3,5,3,20,0,0,0,0,0,0,1,34,22,3,5,3,0,0,0,0,0,0
1,34,22,3,1,3,3,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,2,1,3,8,0,0,0,0,0,0,1,34,22,2,1,3,0,0,0,0,0,0
1,34,22,3,1,3,28,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,1,5,3,11,0,0,0,0,0,0,1,34,22,1,5,3,0,0,0,0,0,0
1,34,22,3,5,3,2,0,0,0,0,0,0,1,34,22,3,5,3,0,0,0,0,0,0
1,34,22,1,11,3,18,0,0,0,0,0,0,1,34,22,1,11,3,0,0,0,0,0,0
1,34,22,3,1,3,2,0,0,0,0,0,0,1,34,22,3,1,3,0,0,0,0,0,0
1,34,22,2,11,3,34,0,0,0,0,0,0,1,34,22,2,11,3,0,0,0,0,0,0
1,34,22,1,1,3,15,0,0,0,0,0,0,1,34,22,1,1,3,0,0,0,0,0,0
2,43,21,1,1,3,8,0,0,0,0,0,0,2,43,21,1,1,3,0,0,0,0,0,0
2,43,21,3,1,3,5,0,0,0,0,0,0,2,43,21,3,1,3,0,0,0,0,0,0
2,43,21,2,1,3,18,0,0,0,0,0,0,2,43,21,2,1,3,0,0,0,0,0,0
2,43,21,2,1,3,25,0,0,0,0,0,0,2,43,21,2,1,3,0,0,0,0,0,0
2,43,21,1,5,3,3,0,0,0,0,0,0,2,43,21,1,5,3,0,0,0,0,0,0
2,43,21,1,11,3,19,0,0,0,0,0,0,2,43,21,1,11,3,0,0,0,0,0,0
2,43,21,3,11,3,13,0,0,0,0,0,0,2,43,21,3,11,3,0,0,0,0,0,0
2,43,21,2,11,3,25,0,0,0,0,0,0,2,43,21,2,11,3,0,0,0,0,0,0
2,43,21,2,11,3,17,0,0,0,0,0,0,2,43,21,2,11,3,0,0,0,0,0,0
2,43,21,2,5,3,24,0,0,0,0,0,0,2,43,21,2,5,3,0,0,0,0,0,0
2,43,21,2,11,3,37,0,0,0,0,0,0,2,43,21,2,11,3,0,0,0,0,0,0
2,43,21,3,1,3,9,0,0,0,0,0,0,2,43,21,3,1,3,0,0,0,0,0,0
2,43,21,2,11,3,30,0,0,0,0,0,0,2,43,21,2,11,3,0,0,0,0,0,0
2,43,21,2,1,3,20,0,0,0,0,0,0,2,43,21,2,1,3,0,0,0,0,0,0
2,43,21,3,11,3,17,0,0,0,0,0,0,2,43,21,3,11,3,0,0,0,0,0,0
2,43,21,3,1,3,3,0,0,0,0,0,0,2,43,21,3,1,3,0,0,0,0,0,0
2,43,21,2,1,3,2,0,0,0,0,0,0,2,43,21,2,1,3,0,0,0,0,0,0
2,43,21,3,1,3,13,0,0,0,0,0,0,2,43,21,3,1,3,0,0,0,0,0,0
2,43,21,2,6,3,21,0,0,0,0,0,0,2,43,21,2,6,3,0,0,0,0,0,0
2,43,21,1,1,3,10,0,0,0,0,0,0,2,43,21,1,1,3,0,0,0,0,0,0
2,43,21,3,5,3,9,0,0,0,0,0,0,2,43,21,3,5,3,0,0,0,0,0,0
2,43,21,2,1,3,30,0,0,0,0,0,0,2,43,21,2,1,3,0,0,0,0,0,0
2,43,21,1,5,3,7,0,0,0,0,0,0,2,43,21,1,5,3,0,0,0,0,0,0
2,43,21,1,5,3,2,0,0,0,0,0,0,2,43,21,1,5,3,0,0,0,0,0,0
2,43,21,3,1,3,21,0,0,0,0,0,0,2,43,21,3,1,3,0,0,0,0,0,0
3,43,16,3,5,3,16,0,0,0,0,0,0,3,43,16,3,5,3,0,0,0,0,0,0
3,43,16,3,1,3,20,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,1,3,15,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,11,3,10,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,1,11,3,6,0,0,0,0,0,0,3,43,16,1,11,3,0,0,0,0,0,0
3,43,16,3,5,3,27,0,0,0,0,0,0,3,43,16,3,5,3,0,0,0,0,0,0
3,43,16,3,11,3,15,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,3,11,3,13,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,2,1,3,29,0,0,0,0,0,0,3,43,16,2,1,3,0,0,0,0,0,0
3,43,16,3,11,3,49,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,2,1,3,4,0,0,0,0,0,0,3,43,16,2,1,3,0,0,0,0,0,0
3,43,16,2,11,3,15,0,0,0,0,0,0,3,43,16,2,11,3,0,0,0,0,0,0
3,43,16,3,1,3,35,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,1,3,20,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,1,3,5,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,2,5,3,36,0,0,0,0,0,0,3,43,16,2,5,3,0,0,0,0,0,0
3,43,16,3,1,3,16,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,1,3,11,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,1,1,3,5,0,0,0,0,0,0,3,43,16,1,1,3,0,0,0,0,0,0
3,43,16,2,1,3,13,0,0,0,0,0,0,3,43,16,2,1,3,0,0,0,0,0,0
3,43,16,3,1,3,12,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,1,3,23,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,2,1,3,24,0,0,0,0,0,0,3,43,16,2,1,3,0,0,0,0,0,0
3,43,16,3,1,3,6,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,2,1,3,30,0,0,0,0,0,0,3,43,16,2,1,3,0,0,0,0,0,0
3,43,16,3,1,3,19,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,5,3,5,0,0,0,0,0,0,3,43,16,3,5,3,0,0,0,0,0,0
3,43,16,3,5,3,16,0,0,0,0,0,0,3,43,16,3,5,3,0,0,0,0,0,0
3,43,16,3,1,3,11,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,3,11,3,24,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,3,11,3,25,0,0,0,0,0,0,3,43,16,3,11,3,0,0,0,0,0,0
3,43,16,3,1,3,8,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
3,43,16,1,5,3,13,0,0,0,0,0,0,3,43,16,1,5,3,0,0,0,0,0,0
3,43,16,3,5,3,29,0,0,0,0,0,0,3,43,16,3,5,3,0,0,0,0,0,0
3,43,16,3,1,3,9,0,0,0,0,0,0,3,43,16,3,1,3,0,0,0,0,0,0
1,14,23,3,1,3,15,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,1,3,16,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,1,3,19,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,1,3,37,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,5,3,14,0,0,0,0,0,0,1,14,23,3,5,3,0,0,0,0,0,0
1,14,23,2,1,3,35,0,0,0,0,0,0,1,14,23,2,1,3,0,0,0,0,0,0
1,14,23,2,1,3,19,0,0,0,0,0,0,1,14,23,2,1,3,0,0,0,0,0,0
1,14,23,2,1,3,28,0,0,0,0,0,0,1,14,23,2,1,3,0,0,0,0,0,0
1,14,23,2,1,3,42,0,0,0,0,0,0,1,14,23,2,1,3,0,0,0,0,0,0
1,14,23,3,2,3,24,0,0,0,0,0,0,1,14,23,3,2,3,0,0,0,0,0,0
1,14,23,3,1,3,23,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,2,1,3,45,0,0,0,0,0,0,1,14,23,2,1,3,0,0,0,0,0,0
1,14,23,3,1,3,22,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,11,3,26,0,0,0,0,0,0,1,14,23,3,11,3,0,0,0,0,0,0
1,14,23,3,1,3,13,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,3,3,17,0,0,0,0,0,0,1,14,23,3,3,3,0,0,0,0,0,0
1,14,23,3,11,3,42,0,0,0,0,0,0,1,14,23,3,11,3,0,0,0,0,0,0
1,14,23,3,1,3,27,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
1,14,23,3,1,3,16,0,0,0,0,0,0,1,14,23,3,1,3,0,0,0,0,0,0
2,11,24,3,1,3,11,0,0,0,0,0,0,2,11,24,3,1,3,0,0,0,0,0,0
2,11,24,3,1,3,24,0,0,0,0,0,0,2,11,24,3,1,3,0,0,0,0,0,0
2,11,24,2,5,3,19,0,0,0,0,0,0,2,11,24,2,5,3,0,0,0,0,0,0
2,11,24,3,1,3,34,0,0,0,0,0,0,2,11,24,3,1,3,0,0,0,0,0,0
2,11,24,2,1,3,18,0,0,0,0,0,0,2,11,24,2,1,3,0,0,0,0,0,0
2,11,24,3,1,3,33,0,0,0,0,0,0,2,11,24,3,1,3,0,0,0,0,0,0
2,11,24,3,5,3,30,0,0,0,0,0,0,2,11,24,3,5,3,0,0,0,0,0,0
2,11,24,3,1,3,5,0,0,0,0,0,0,2,11,24,3,1,3,0,0,0,0,0,0
